FishID,Length,Weight,Start Date,Emerge_1stTrial,LN_Emerge_1stTrial,Emerge_Average,LN_Emerge_Average,Novel_TrialStart,Novel_VideoStartToOrient,Novel_TimeToOrient,Novel_LN_TimeToOrient,Novel_VideoStartToApproach,Novel_TimeToApproach,Novel_LN_Approach,Novel_Near5,Novel_LN_Near5,Novel_NearandOriented,Novel_LN_NearandOriented,Barrier_FirstBoutDuration,Barrier_LN_FirstBout,Barrier_Apex,Barrier_LN_Apex,Barrier_EmergeToBackside,Barrier_LN_EtoB,FirstReversal_Wrong VisitsBeforeCorrect,FirstReversal_PersistBeforeCorrect,Initial_Sessions,Reversal_Sessions,Reversal_Session1
1,48,1.38,25-Jun,3,1.098612289,2,0.693147181,15,27,12,2.48490665,38,23,3.135494216,60,4.110873864,8,2.197224577,56,4.043051268,88,4.48863637,27,3.295836866,2,1,5,12,0
2,53,1.78,25-Jun,3,1.098612289,5.75,1.749199855,14,16,2,0.693147181,21,7,1.945910149,135,4.912654886,29,3.401197382,86,4.465908119,84,4.442651256,50,3.912023005,2,1,3,6,2
3,52,1.68,25-Jun,13,2.564949357,13.25,2.583997552,9,11,2,0.693147181,43,34,3.526360525,85,4.454347296,43,3.784189634,1,0.693147181,12,2.564949357,193,5.262690189,4,1,2,5,0
4,50,1.76,27-Jun,22,3.091042453,15.75,2.756840365,12,13,1,0,22,10,2.302585093,140,4.94875989,15,2.772588722,24,3.218875825,42,3.761200116,26,3.258096538,3,1,2,7,2
5,48,1.18,25-Jun,1,0,8.25,2.1102132,12,186,174,5.159055299,671,659,6.490723535,28,3.36729583,1,0.693147181,52,3.970291914,57,4.060443011,21,3.044522438,2,1,4,6,5
6,51,1.72,25-Jun,20,2.995732274,22.75,3.124565145,13,41,28,3.33220451,73,60,4.094344562,168,5.129898715,7,2.079441542,6,1.945910149,17,2.890371758,11,2.397895273,1,0,8,5,4
7,42,1.07,25-Jun,138,4.927253685,52,3.951243719,16,21,5,1.609437912,30,14,2.63905733,183,5.214935758,38,3.663561646,25,3.258096538,32,3.496507561,83,4.418840608,1,0,3,6,2
8,42,0.97,25-Jun,31,3.433987204,12.5,2.525728644,10,31,21,3.044522438,36,26,3.258096538,122,4.812184355,28,3.36729583,28,3.36729583,40,3.713572067,39,3.663561646,2,1,3,6,0
9,44,1.16,25-Jun,6,1.791759469,3.5,1.252762968,11,24,13,2.564949357,25,14,2.63905733,142,4.96284463,15,2.772588722,0,0,0,0,5,1.609437912,1,0,3,14,0
11,56,2.18,9-Aug,28,3.33220451,19.25,2.957511061,12,40,28,3.33220451,135,123,4.812184355,34,3.555348061,6,1.945910149,13,2.63905733,22,3.135494216,54,3.988984047,3,1,2,9,1
12,53,1.99,9-Aug,20,2.995732274,124.5,4.824305716,12,20,8,2.079441542,26,14,2.63905733,55,4.025351691,2,1.098612289,13,2.63905733,10,2.397895273,16,2.772588722,2,1,3,5,2
13,50,1.57,10-Aug,10,2.302585093,4.75,1.558144618,11,69,58,4.060443011,70,59,4.077537444,142,4.96284463,17,2.890371758,77,4.356708827,52,3.970291914,74,4.304065093,2,1,4,7,0
14,51,1.6,10-Aug,9,2.197224577,21,3.044522438,22,44,22,3.091042453,70,48,3.871201011,102,4.634728988,23,3.17805383,24,3.218875825,39,3.688879454,27,3.295836866,3,1,10,9,2
15,49,1.41,12-Aug,18,2.890371758,10.5,2.351375257,16,45,29,3.36729583,54,38,3.63758616,74,4.317488114,11,2.48490665,97,4.584967479,164,5.105945474,46,3.828641396,10,1,2,10,1
16,46,1.12,17-Aug,10,2.302585093,6.75,1.909542505,13,42,29,3.36729583,105,92,4.521788577,91,4.521788577,9,2.302585093,47,3.871201011,65,4.189654742,40,3.688879454,1,0,3,11,0
17,58,2.32,18-Aug,12,2.48490665,7.5,2.014903021,9,26,17,2.833213344,108,99,4.59511985,82,4.418840608,40,3.713572067,4,1.609437912,9,2.302585093,151,5.017279837,1,0,5,13,2
18,53,1.72,25-Aug,35,3.555348061,15,2.708050201,23,45,22,3.091042453,199,176,5.170483995,65,4.189654742,34,3.555348061,24,3.218875825,21,3.091042453,26,3.258096538,5,1,2,5,0
19,53,1.92,25-Aug,89,4.48863637,78.5,4.363098625,17,69,52,3.951243719,113,96,4.564348191,53,3.988984047,11,2.48490665,2,1.098612289,3,1.386294361,13,2.564949357,2,1,2,4,2
20,50,1.41,31-Aug,22,3.091042453,9,2.197224577,9,22,13,2.564949357,27,18,2.890371758,89,4.49980967,8,2.197224577,53,3.988984047,107,4.682131227,133,4.890349128,3,1,2,7,2
21,43,0.95,31-Aug,11,2.397895273,4.5,1.504077397,13,59,46,3.828641396,60,47,3.850147602,140,4.94875989,11,2.48490665,27,3.33220451,75,4.33073334,35,3.555348061,1,0,3,6,1
22,49,1.55,2-Sep,2,0.693147181,1.25,0.223143551,23,93,70,4.248495242,94,71,4.262679877,133,4.8978398,20,3.044522438,58,4.077537444,40,3.713572067,26,3.258096538,3,1,4,8,2
23,54,1.9,9-Sep,38,3.63758616,15.5,2.740840024,12,19,7,1.945910149,100,88,4.477336814,107,4.682131227,15,2.772588722,36,3.610917913,22,3.135494216,29,3.36729583,2,1,2,6,1
24,55,1.96,9-Sep,3,1.098612289,7,1.945910149,12,64,52,3.951243719,65,53,3.970291914,190,5.252273428,4,1.609437912,10,2.397895273,16,2.833213344,18,2.890371758,2,1,3,10,1
25,53,1.93,11-Sep,171,5.141663557,86.75,4.463030419,12,29,17,2.833213344,362,350,5.857933154,0,0,0,0,9,2.302585093,9,2.302585093,58,4.060443011,1,0,2,7,7
26,50,1.81,11-Sep,21,3.044522438,20.25,3.008154794,26,227,201,5.303304908,287,261,5.564520407,43,3.784189634,3,1.386294361,2,1.098612289,1,0.693147181,7,1.945910149,1,0,3,7,2
27,47,1.3,16-Sep,26,3.258096538,58.5,4.069026754,18,152,134,4.8978398,309,291,5.673323267,15,2.772588722,1,0.693147181,0,0,0,0,3,1.098612289,1,0,11,6,2
28,47,1.28,17-Sep,15,2.708050201,10.25,2.327277706,19,43,24,3.17805383,67,48,3.871201011,17,2.890371758,7,2.079441542,13,2.63905733,70,4.262679877,18,2.890371758,1,0,2,15,1
29,47,1.43,17-Sep,11,2.397895273,7.5,2.014903021,9,25,16,2.772588722,150,141,4.94875989,37,3.63758616,4,1.609437912,31,3.465735903,32,3.496507561,37,3.610917913,2,1,8,7,2
30,55,2.08,17-Sep,13,2.564949357,8.25,2.1102132,9,41,32,3.465735903,79,70,4.248495242,51,3.951243719,8,2.197224577,23,3.17805383,24,3.218875825,32,3.465735903,1,0,3,8,0
31,43,0.95,24-Sep,18,2.890371758,11,2.397895273,13,16,3,1.098612289,24,11,2.397895273,139,4.941642423,38,3.663561646,26,3.295836866,18,2.944438979,17,2.833213344,5,1,4,18,1
33,47,1.54,28-Sep,54,3.988984047,22.5,3.113515309,9,25,16,2.772588722,38,29,3.36729583,92,4.532599493,15,2.772588722,3,1.386294361,22,3.135494216,41,3.713572067,7,1,2,5,2
34,53,2.23,30-Sep,105,4.65396035,118,4.770684624,20,24,4,1.386294361,44,24,3.17805383,72,4.290459441,10,2.397895273,14,2.708050201,38,3.663561646,25,3.218875825,3,1,4,5,2
36,45,1.2,2-Oct,271,5.602118821,212.5,5.358941988,10,78,68,4.219507705,147,137,4.919980926,62,4.143134726,22,3.135494216,0,0,0,0,1,0,1,0,4,14,2
37,46,1.28,8-Oct,426,6.054439346,142.25,4.957586073,26,43,17,2.833213344,489,463,6.137727054,0,0,0,0,1,0.693147181,2,1.098612289,53,3.970291914,4,1,10,11,3
38,50,1.83,12-Oct,78,4.356708827,70,4.248495242,15,35,20,2.995732274,95,80,4.382026635,220,5.398162702,6,1.945910149,2,1.098612289,3,1.386294361,7,1.945910149,1,0,5,9,0
39,39,1.33,12-Oct,47,3.850147602,49.5,3.90197267,11,19,8,2.079441542,109,98,4.584967479,167,5.123963979,3,1.386294361,39,3.688879454,120,4.795790546,158,5.062595033,2,1,6,6,4
40,57,2.11,12-Oct,20,2.995732274,54,3.988984047,10,27,17,2.833213344,93,83,4.418840608,14,2.708050201,11,2.48490665,68,4.234106505,207,5.33753808,74,4.304065093,1,0,5,6,0
41,48,1.56,18-Oct,206,5.327876169,72.75,4.287028906,8,59,51,3.931825633,233,225,5.416100402,20,3.044522438,5,1.791759469,16,2.833213344,13,2.63905733,19,2.944438979,1,0,6,6,4
42,47,1.35,18-Oct,240,5.480638923,91.25,4.513602992,19,26,7,1.945910149,60,41,3.713572067,26,3.295836866,2,1.098612289,4,1.609437912,19,2.995732274,6,1.791759469,1,0,2,18,2
43,52,1.82,19-Oct,8,2.079441542,10.75,2.374905755,13,38,25,3.218875825,44,31,3.433987204,183,5.214935758,25,3.258096538,12,2.564949357,318,5.765191103,18,2.890371758,1,0,3,6,0
44,57,2.23,24-Oct,12,2.48490665,9.5,2.251291799,16,44,28,3.33220451,70,54,3.988984047,153,5.036952602,5,1.791759469,21,3.091042453,12,2.564949357,25,3.218875825,1,0,3,7,0
45,49,1.78,2-Jan,68,4.219507705,40.5,3.701301974,15,185,170,5.135798437,187,172,5.147494477,112,4.727387819,51,3.951243719,0,0,0,0,3,1.098612289,1,0,7,9,2
46,42,1.02,2-Jan,31,3.433987204,18.75,2.931193752,18,66,48,3.871201011,828,810,6.697034248,1,0.693147181,0,0,59,4.094344562,322,5.777652323,68,4.219507705,4,1,4,7,0
47,42,1.04,2-Jan,30,3.401197382,9.25,2.224623552,11,17,6,1.791759469,19,8,2.079441542,112,4.727387819,8,2.197224577,117,4.770684624,82,4.418840608,121,4.795790546,2,1,10,13,2
48,43,1.16,2-Jan,26,3.258096538,34.5,3.540959324,30,332,302,5.710427017,403,373,5.92157842,0,0,0,0,4,1.609437912,2,1.098612289,4,1.386294361,13,1,18,6,5
49,54,2.09,2-Jan,9,2.197224577,11.5,2.442347035,32,113,81,4.394449155,537,505,6.224558429,2,1.098612289,0,0,0,0,0,0,7,1.945910149,8,1,17,8,3
51,52,1.46,2-Jan,145,4.976733742,166.75,5.116495685,29,372,343,5.837730447,376,347,5.84932478,0,0,0,0,16,2.833213344,40,3.713572067,440,6.086774727,1,0,3,5,2
53,43,1.24,2-Jan,36,3.583518938,34.5,3.540959324,78,316,238,5.472270674,585,507,6.228511004,0,0,0,0,11,2.48490665,134,4.905274778,18,2.890371758,1,0,6,8,1
54,48,1.59,15-Jan,404,6.001414878,189,5.241747015,18,32,14,2.63905733,33,15,2.708050201,176,5.176149733,8,2.197224577,1,0.693147181,3,1.386294361,52,3.951243719,1,0,16,8,1
55,43,0.98,15-Jan,171,5.141663557,265.5,5.581614841,18,143,125,4.828313737,422,404,6.001414878,0,0,0,0,3,1.386294361,65,4.189654742,77,4.343805422,1,0,11,7,7
58,59,2.11,8-Feb,37,3.610917913,16.5,2.803360381,27,42,15,2.708050201,178,151,5.017279837,18,2.944438979,3,1.386294361,27,3.33220451,14,2.708050201,56,4.025351691,2,1,2,5,0
60,44,1.13,8-Feb,330,5.799092654,352.75,5.865759591,21,76,55,4.007333185,81,60,4.094344562,113,4.736198448,30,3.433987204,2,1.098612289,4,1.609437912,301,5.707110265,1,0,7,6,0
61,48,1.29,8-Feb,101,4.615120517,193.5,5.265277512,20,127,107,4.672828834,543,523,6.259581464,0,0,0,0,0,0,0,0,1,0,1,0,16,8,3